"ジャンル","URL","車名","価格","全長 (mm)","全幅 (mm)","全高 (mm)","ホイールベース (mm)","シート高 (mm)","車両重量 (kg)","気筒数","シリンダ配列","排気量 (cc)","カム・バルブ駆動方式","気筒あたりバルブ数","最高出力（kW）","最高出力回転数（rpm）","最大トルク（N・m）","最大トルク回転数（rpm）"
0,"https://www.bikebros.co.jp/catalog/1/999_115/","ホンダ | HONDA　CRF1100Lアフリカツイン | CRF1100L Africa Twin",1749000,2310.0,960.0,1355.0,1560.0,830.0,240.0,2,"並列（直列）",1082.0,"OHC（SOHC）",4,75.0,7500.0,105.0,6250.0
0,"https://www.bikebros.co.jp/catalog/1/999_123/","ホンダ | HONDA　CRF1100Lアフリカツイン アドベンチャースポーツES s | CRF1100L Africa Twin Adventure Sports ES s",2057000,2330.0,960.0,1490.0,1575.0,870.0,240.0,2,"並列（直列）",1082.0,"OHC（SOHC）",4,75.0,7500.0,105.0,6250.0
0,"https://www.bikebros.co.jp/catalog/1/999_116/","ホンダ | HONDA　CRF1100Lアフリカツイン アドベンチャースポーツ/ES | CRF1100L Africa Twin Adventure Sports/ES",2057000,2310.0,960.0,1445.0,1560.0,830.0,250.0,2,"並列（直列）",1082.0,"OHC（SOHC）",4,75.0,7500.0,105.0,6250.0
0,"https://www.bikebros.co.jp/catalog/1/999_122/","ホンダ | HONDA　CRF1100Lアフリカツインs | CRF1100L Africa Twin s",1749000,2330.0,960.0,1395.0,1575.0,870.0,229.0,2,"並列（直列）",1082.0,"OHC（SOHC）",4,75.0,7500.0,105.0,6250.0
0,"https://www.bikebros.co.jp/catalog/1/999_155/","ホンダ | HONDA　NT1100 / DCT",1683000,2240.0,865.0,1360.0,1535.0,820.0,248.0,2,"並列（直列）",1082.0,"OHC（SOHC）",4,75.0,7500.0,104.0,6250.0
0,"https://www.bikebros.co.jp/catalog/2/23_1/","ヤマハ | YAMAHA　FJR1300AS/A | FJR1300",1980000,2230.0,750.0,1325.0,1545.0,805.0,296.0,4,"並列（直列）",1297.0,"DOHC",4,108.0,8000.0,138.0,7000.0
0,"https://www.bikebros.co.jp/catalog/3/121_1/","スズキ | SUZUKI　隼 ハヤブサ | GSX1300R HAYABUSA",2156000,2180.0,735.0,1165.0,1480.0,800.0,264.0,4,"並列（直列）",1339.0,"DOHC",4,138.0,9700.0,149.0,7000.0
0,"https://www.bikebros.co.jp/catalog/3/999_92/","スズキ | SUZUKI　Vストローム1050 | V-Strom 1050",1430000,2265.0,870.0,1515.0,1555.0,855.0,236.0,2,"V型（L型）",1036.0,"DOHC",4,78.0,8500.0,99.0,6000.0
0,"https://www.bikebros.co.jp/catalog/3/999_93/","スズキ | SUZUKI　Vストローム1050XT | V-Strom 1050XT",1518000,2265.0,940.0,1465.0,1555.0,850.0,247.0,2,"V型（L型）",1036.0,"DOHC",4,78.0,8500.0,99.0,6000.0
0,"https://www.bikebros.co.jp/catalog/5/999_105/","ハーレーダビッドソン | Harley-Davidson　RA1250 パンアメリカ1250 | RA1250 PAN AMERICA1250",2745600,2265.0,965.0,1510.0,1580.0,890.0,245.0,2,"V型（L型）",1252.0,"DOHC",4,112.0,8750.0,128.0,6750.0
0,"https://www.bikebros.co.jp/catalog/5/999_110/","ハーレーダビッドソン | Harley-Davidson　RA1250S パンアメリカ1250スペシャル | RA1250S PAN AMERICA1250 Special",2745600,2265.0,965.0,1510.0,1580.0,830.0,258.0,2,"V型（L型）",1252.0,"DOHC",4,112.0,8750.0,128.0,6750.0
0,"https://www.bikebros.co.jp/catalog/7/999_3/","ビーエムダブリュー | BMW　K1600B",3525000,2470.0,1000.0,"",1618.0,750.0,344.0,6,"並列（直列）",1649.0,"DOHC",4,118.0,6750.0,180.0,5250.0
