Id,Expression,Answer
0,850+636,1486
1,511+269,780
2,307+40,347
3,75+16,91
4,175+813,988
5,649+912,1561
6,503+606,1109
7,970+729,1699
8,632+543,1175
9,559+935,1494
10,277+815,1092
11,670+2,672
12,394+857,1251
13,554+33,587
14,764+729,1493
15,846+175,1021
16,89+863,952
17,22+541,563
18,80+299,379
19,481+422,903
20,403+28,431
21,5+124,129
22,8+670,678
23,525+647,1172
24,257+615,872
25,764+383,1147
26,460+997,1457
27,804+980,1784
28,379+685,1064
29,950+650,1600
30,840+688,1528
31,704+388,1092
32,875+135,1010
33,578+721,1299
34,845+525,1370
35,375+310,685
36,422+485,907
37,718+889,1607
38,72+934,1006
39,531+357,888
40,672+571,1243
41,254+321,575
42,719+594,1313
43,504+337,841
44,760+391,1151
45,328+890,1218
46,263+227,490
47,714+623,1337
48,48+84,132
49,377+832,1209
50,400+787,1187
51,316+239,555
52,791+876,1667
53,79+58,137
54,671+336,1007
55,573+150,723
56,860+450,1310
57,894+796,1690
58,705+230,935
59,767+52,819
60,570+404,974
61,996+198,1194
62,946+90,1036
63,623+580,1203
64,898+298,1196
65,902+671,1573
66,890+199,1089
67,758+942,1700
68,48+365,413
69,636+105,741
70,510+629,1139
71,763+927,1690
72,409+440,849
73,474+954,1428
74,195+499,694
75,49+425,474
76,945+620,1565
77,349+995,1344
78,603+948,1551
79,16+460,476
80,834+757,1591
81,407+497,904
82,420+529,949
83,230+785,1015
84,77+414,491
85,281+734,1015
86,749+711,1460
87,924+932,1856
88,184+114,298
89,132+729,861
90,970+927,1897
91,668+967,1635
92,871+14,885
93,119+863,982
94,82+981,1063
95,827+957,1784
96,360+148,508
97,516+972,1488
98,367+889,1256
99,383+822,1205
100,229+479,708
101,326+232,558
102,892+801,1693
103,139+923,1062
104,970+266,1236
105,426+538,964
106,657+442,1099
107,148+931,1079
108,692+40,732
109,814+732,1546
110,183+614,797
111,501+28,529
112,927+719,1646
113,310+15,325
114,91+757,848
115,149+512,661
116,898+929,1827
117,267+66,333
118,494+841,1335
119,624+66,690
120,650+344,994
121,226+430,656
122,873+966,1839
123,141+562,703
124,761+258,1019
125,272+241,513
126,209+888,1097
127,218+225,443
128,125+124,249
129,778+288,1066
130,801+586,1387
131,858+554,1412
132,764+809,1573
133,61+560,621
134,454+288,742
135,452+412,864
136,491+818,1309
137,825+626,1451
138,710+959,1669
139,636+369,1005
140,82+552,634
141,231+593,824
142,25+848,873
143,944+145,1089
144,819+406,1225
145,41+909,950
146,940+43,983
147,593+822,1415
148,789+415,1204
149,859+829,1688
150,113+9,122
151,102+365,467
152,109+78,187
153,258+652,910
154,524+273,797
155,950+702,1652
156,634+943,1577
157,785+126,911
158,36+864,900
159,407+59,466
160,476+380,856
161,431+429,860
162,314+488,802
163,491+976,1467
164,692+775,1467
165,8+308,316
166,983+269,1252
167,509+863,1372
168,638+881,1519
169,164+510,674
170,635+344,979
171,574+994,1568
172,736+315,1051
173,63+182,245
174,272+880,1152
175,270+812,1082
176,273+667,940
177,526+958,1484
178,566+925,1491
179,961+748,1709
180,628+860,1488
181,996+247,1243
182,562+141,703
183,104+670,774
184,47+714,761
185,820+167,987
186,680+395,1075
187,893+910,1803
188,577+561,1138
189,710+578,1288
190,745+194,939
191,782+526,1308
192,751+523,1274
193,306+88,394
194,525+981,1506
195,35+571,606
196,447+6,453
197,543+772,1315
198,741+978,1719
199,529+589,1118
200,965+319,1284
201,798+187,985
202,361+672,1033
203,579+195,774
204,659+577,1236
205,920+602,1522
206,884+962,1846
207,87+72,159
208,502+499,1001
209,555+744,1299
210,315+177,492
211,680+388,1068
212,929+62,991
213,709+725,1434
214,271+87,358
215,318+395,713
216,979+873,1852
217,231+472,703
218,599+912,1511
219,135+765,900
220,925+915,1840
221,277+127,404
222,593+73,666
223,129+70,199
224,210+868,1078
225,672+634,1306
226,985+496,1481
227,39+163,202
228,260+673,933
229,357+318,675
230,112+710,822
231,24+460,484
232,744+507,1251
233,687+789,1476
234,224+92,316
235,56+578,634
236,264+197,461
237,734+808,1542
238,954+488,1442
239,522+988,1510
240,503+182,685
241,255+963,1218
242,43+800,843
243,647+481,1128
244,833+813,1646
245,439+602,1041
246,763+655,1418
247,485+913,1398
248,882+65,947
249,547+834,1381
250,84+381,465
251,508+325,833
252,695+994,1689
253,363+781,1144
254,117+485,602
255,5+422,427
256,14+877,891
257,969+86,1055
258,818+708,1526
259,300+789,1089
260,962+799,1761
261,692+322,1014
262,606+796,1402
263,714+225,939
264,412+362,774
265,694+417,1111
266,419+541,960
267,579+112,691
268,924+406,1330
269,175+0,175
270,434+744,1178
271,296+851,1147
272,199+138,337
273,391+703,1094
274,299+821,1120
275,20+981,1001
276,47+843,890
277,3+424,427
278,309+979,1288
279,654+973,1627
280,414+503,917
281,502+753,1255
282,509+913,1422
283,191+476,667
284,246+863,1109
285,137+701,838
286,911+293,1204
287,279+767,1046
288,591+570,1161
289,884+93,977
290,273+391,664
291,917+73,990
292,452+476,928
293,14+428,442
294,648+423,1071
295,305+586,891
296,980+122,1102
297,286+933,1219
298,296+684,980
299,351+823,1174
300,585+896,1481
301,637+583,1220
302,488+40,528
303,120+711,831
304,639+569,1208
305,116+825,941
306,796+532,1328
307,254+813,1067
308,521+997,1518
309,280+350,630
310,803+171,974
311,321+391,712
312,726+753,1479
313,788+439,1227
314,615+588,1203
315,772+127,899
316,318+726,1044
317,201+280,481
318,978+190,1168
319,998+862,1860
320,156+564,720
321,323+484,807
322,609+898,1507
323,931+86,1017
324,178+696,874
325,206+327,533
326,585+175,760
327,994+674,1668
328,227+362,589
329,648+329,977
330,621+943,1564
331,365+199,564
332,285+512,797
333,555+24,579
334,643+163,806
335,629+883,1512
336,193+789,982
337,34+556,590
338,667+222,889
339,781+557,1338
340,417+12,429
341,134+712,846
342,406+716,1122
343,961+646,1607
344,741+611,1352
345,300+73,373
346,613+246,859
347,120+574,694
348,610+394,1004
349,629+992,1621
350,758+923,1681
351,67+152,219
352,358+589,947
353,695+696,1391
354,906+136,1042
355,171+312,483
356,167+715,882
357,411+901,1312
358,283+341,624
359,298+238,536
360,840+821,1661
361,295+584,879
362,878+476,1354
363,902+256,1158
364,225+72,297
365,631+17,648
366,178+579,757
367,440+191,631
368,512+975,1487
369,983+107,1090
370,753+452,1205
371,465+394,859
372,836+232,1068
373,584+748,1332
374,414+643,1057
375,118+725,843
376,303+82,385
377,295+352,647
378,644+519,1163
379,833+426,1259
380,886+40,926
381,325+194,519
382,382+945,1327
383,135+162,297
384,408+852,1260
385,8+822,830
386,779+391,1170
387,42+466,508
388,701+824,1525
389,158+680,838
390,554+836,1390
391,710+757,1467
392,854+691,1545
393,394+912,1306
394,556+822,1378
395,102+179,281
396,547+748,1295
397,950+86,1036
398,860+425,1285
399,950+396,1346
400,919+202,1121
401,342+937,1279
402,984+94,1078
403,145+4,149
404,934+322,1256
405,530+990,1520
406,838+264,1102
407,373+830,1203
408,494+173,667
409,941+586,1527
410,776+958,1734
411,611+716,1327
412,858+980,1838
413,536+574,1110
414,668+983,1651
415,451+837,1288
416,277+778,1055
417,111+888,999
418,340+631,971
419,141+356,497
420,95+528,623
421,986+226,1212
422,268+777,1045
423,188+170,358
424,215+577,792
425,503+535,1038
426,27+671,698
427,313+760,1073
428,833+109,942
429,294+624,918
430,174+413,587
431,350+614,964
432,743+693,1436
433,317+585,902
434,801+732,1533
435,787+520,1307
436,581+462,1043
437,612+286,898
438,459+229,688
439,504+695,1199
440,785+695,1480
441,174+195,369
442,373+971,1344
443,27+671,698
444,294+531,825
445,86+841,927
446,872+486,1358
447,779+475,1254
448,727+258,985
449,318+156,474
450,454+711,1165
451,781+844,1625
452,190+677,867
453,270+368,638
454,370+575,945
455,588+563,1151
456,64+936,1000
457,852+387,1239
458,571+164,735
459,634+876,1510
460,928+894,1822
461,55+48,103
462,736+198,934
463,189+636,825
464,59+788,847
465,178+606,784
466,630+191,821
467,401+117,518
468,980+505,1485
469,148+815,963
470,739+217,956
471,338+75,413
472,556+551,1107
473,52+191,243
474,454+67,521
475,741+773,1514
476,709+821,1530
477,801+398,1199
478,449+294,743
479,170+277,447
480,723+360,1083
481,996+576,1572
482,665+527,1192
483,797+355,1152
484,612+637,1249
485,865+675,1540
486,598+558,1156
487,54+387,441
488,312+623,935
489,315+591,906
490,498+340,838
491,507+303,810
492,216+545,761
493,988+612,1600
494,617+610,1227
495,882+382,1264
496,423+565,988
497,558+985,1543
498,179+428,607
499,210+843,1053
500,553+81,634
501,185+875,1060
502,442+941,1383
503,91+261,352
504,547+12,559
505,391+483,874
506,237+182,419
507,926+971,1897
508,500+897,1397
509,486+960,1446
510,43+603,646
511,42+515,557
512,883+832,1715
513,213+652,865
514,167+248,415
515,426+934,1360
516,671+439,1110
517,205+773,978
518,590+500,1090
519,653+183,836
520,913+295,1208
521,478+574,1052
522,174+143,317
523,474+13,487
524,604+433,1037
525,239+762,1001
526,326+614,940
527,209+324,533
528,626+717,1343
529,640+484,1124
530,251+999,1250
531,911+776,1687
532,291+830,1121
533,578+259,837
534,781+152,933
535,579+199,778
536,73+432,505
537,446+512,958
538,5+194,199
539,82+779,861
540,49+868,917
541,213+316,529
542,336+508,844
543,365+594,959
544,378+722,1100
